Iteration;Execution time (ms);Genetic Algorithm;;;Simulation;;;Chromosome;allied;;conflict;;guardian;;herald;;hero;;journey;;mentor;;monomyth;;shadow;;shapeshifter;;trickster;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Best fitness;Population average;Population Std. Dev.;Best Fitness;Trials Std. Dev.;Number of trials;;Trials average;Trials Std. Dev.;Trials average;Trials Std. Dev.;Trials average;Trials Std. Dev.;Trials average;Trials Std. Dev.;Trials average;Trials Std. Dev.;Trials average;Trials Std. Dev.;Trials average;Trials Std. Dev.;Trials average;Trials Std. Dev.;Trials average;Trials Std. Dev.;Trials average;Trials Std. Dev.;Trials average;Trials Std. Dev.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;160123;6,1178703;0,9567903;1,3450454;6,1178703;4,364096;15;[12, 5, 9, 11, 76, 0.42709893, 0.669692, 0.11969304, 0.18592781, 0.046783626, 0.98465854, 0.44718367, 0.25529468, 0.715395, 0.5945616, 0.8158213, 0.9912778, 0.97497416, 0.23779458, 0.066241205, 0.34787333, 0.761602, 0.9078384, 0.5243633, 0.9257276, 0.03064549, 0.1771586, 0.6011072, 0.8594137, 0.4252125, 0.41106611, 0.13744909, 0.17640334, 0.62391734, 0.5213708, 0.20400506, 0.92241937, 0.8456735, 0.08933312, 0.97518754, 0.18453795, 0.43638223, 0.46359104, 0.9457221, 0.6434941, 0.687909, 0.15223068, 0.79134053, 0.73624605, 0.73213106, 0.022919, 0.38582957];56;128,36833;86,13333;43,0927;33,466667;56,788914;0;0;5,3333335;7,4801326;5,3333335;7,4801326;1,6;2,9952343;0;0;5,3333335;7,4801326;0;0;61,733334;212,28972;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;203264;10,009976;2,8857887;2,9625292;10,009976;2,2239194;15;[10, 5, 10, 11, 99, 0.57211024, 0.65520763, 0.5624866, 0.07059419, 0.98482627, 0.8170406, 0.49662834, 0.8018287, 0.76653886, 0.60682404, 0.6587972, 0.74836105, 0.29265544, 0.49978727, 0.91233516, 0.0966761, 0.16631073, 0.5762906, 0.07743745, 0.22098386, 0.9120398, 0.8496803, 0.1281817, 0.0698163, 0.1434063, 0.73895407, 0.5691195, 0.9816399, 0.834185, 0.030203959, 0.5805842, 0.89647657, 3.8087368E-5, 0.61838347, 0.5614072, 0.7771058, 0.22163054, 0.59903944, 0.88202465, 0.22672278, 0.65712684, 0.9992553, 0.7428398, 0.039783716, 0.7149454, 0.471486, 0.69936705];28,933332;30,86715;192,73334;50,72963;69,26667;84,43972;3,7333333;9,391993;10,8;7,0528617;10,8;7,0528617;2,8666666;3,1137178;0;0;10,8;7,0528617;0;0;17,4;19,536777;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;387886;10,009976;2,976158;2,3049774;10,009976;2,2239194;15;[10, 5, 10, 11, 99, 0.57211024, 0.65520763, 0.5624866, 0.07059419, 0.98482627, 0.8170406, 0.49662834, 0.8018287, 0.76653886, 0.60682404, 0.6587972, 0.74836105, 0.29265544, 0.49978727, 0.91233516, 0.0966761, 0.16631073, 0.5762906, 0.07743745, 0.22098386, 0.9120398, 0.8496803, 0.1281817, 0.0698163, 0.1434063, 0.73895407, 0.5691195, 0.9816399, 0.834185, 0.030203959, 0.5805842, 0.89647657, 3.8087368E-5, 0.61838347, 0.5614072, 0.7771058, 0.22163054, 0.59903944, 0.88202465, 0.22672278, 0.65712684, 0.9992553, 0.7428398, 0.039783716, 0.7149454, 0.471486, 0.69936705];28,933332;30,86715;192,73334;50,72963;69,26667;84,43972;3,7333333;9,391993;10,8;7,0528617;10,8;7,0528617;2,8666666;3,1137178;0;0;10,8;7,0528617;0;0;17,4;19,536777;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;605227;10,771134;4,258128;2,6315298;10,771134;1,3391621;15;[10, 7, 9, 10, 98, 0.6826111, 0.7052083, 0.34724963, 0.21160297, 0.49354494, 0.93323624, 0.49290395, 0.87590533, 0.61441314, 0.5602434, 0.63980937, 0.814517, 0.47251436, 0.646475, 0.37703055, 0.2000413, 0.552317, 0.3496974, 0.7519537, 0.642162, 0.93568814, 0.92879945, 0.82337725, 0.09591477, 0.86931723, 0.71046674, 0.2473034, 0.18110313, 0.5775895, 0.63643414, 0.58126247, 0.8560945, 0.78255016, 0.42546296, 0.43110487, 0.8419798, 0.21839733, 0.65066665, 0.6195728, 0.19704077, 0.6197349, 0.80243987, 0.5542784, 0.70918155, 0.7494095, 0.30512524, 0.9889295];50,2;27,967329;210,4;53,585445;53,733334;22,346193;0;0;13,4;4,954075;13,4;4,954075;2,9333334;2,6850557;0;0;13,4;4,954075;0;0;22,866667;15,887402;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;605468;12,60605;5,5191164;3,033227;12,60605;1,8873312;15;[10, 9, 8, 11, 94, 0.7096731, 0.60284036, 0.3747481, 0.27023408, 0.5493173, 0.8426107, 0.69873124, 0.80831146, 0.8801633, 0.43930286, 0.7434473, 0.8465901, 0.60933703, 0.68943655, 0.16873771, 0.3100081, 0.22752406, 0.52889603, 0.4319448, 0.6645207, 0.7582554, 0.1597017, 0.4841132, 0.15536623, 0.34959334, 0.70427024, 0.50248533, 0.20701097, 0.71996135, 0.7772581, 0.6302582, 0.7751081, 0.60539025, 0.54923433, 0.22677583, 0.7812204, 0.5176239, 0.4929263, 0.2418004, 0.6040228, 0.7409441, 0.6980761, 0.506852, 0.48694077, 0.7667132, 0.4096778, 0.29374078];118,8;65,96883;232,46666;58,40605;81,53333;73,32888;0,26666668;0,59361684;18,333334;9,744351;18,333334;9,744351;9,666667;8,431799;0;0;18,333334;9,744351;1,8666667;7,229569;55,733334;35,905563;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;733930;14,143204;6,704339;3,1832004;14,143204;1,2229309;15;[13, 11, 11, 6, 114, 0.5534942, 0.8189113, 0.49468115, 0.15179214, 0.61539, 0.9731339, 0.3925864, 0.4765616, 0.51473755, 0.4497254, 0.7555624, 0.8983908, 0.52196026, 0.7078749, 0.82566565, 0.21758518, 0.082354665, 0.705076, 0.7256466, 0.7211874, 0.73162615, 0.08100945, 0.4686044, 0.120321326, 0.48741028, 0.7268896, 0.33885536, 0.5795535, 0.7264394, 0.8033285, 0.55998063, 0.74188524, 0.73399675, 0.3136862, 0.43657613, 0.33755964, 0.1691878, 0.9682796, 0.7904019, 0.49296728, 0.6171335, 0.4055296, 0.4488373, 0.6765073, 0.7493316, 0.31822455, 0.3865644];156,06667;49,34929;369,6;53,71725;178,46666;131,30165;1,9333333;2,8900485;27,866667;9,67963;27,866667;9,67963;30,266666;10,806523;0;0;27,866667;9,67963;0;0;23,066668;23,556822;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;1048343;15,038898;7,78691;3,571515;15,038898;1,3438643;15;[14, 13, 12, 9, 111, 0.5734342, 0.63319385, 0.4938645, 0.36561215, 0.6102853, 0.71898884, 0.78461957, 0.79797447, 0.39550447, 0.43831185, 0.73021173, 0.8961607, 0.534345, 0.71176004, 0.903553, 0.23630379, 0.084118806, 0.6643237, 0.5593304, 0.31099302, 0.81271076, 0.5234319, 0.49124432, 0.40400812, 0.54102325, 0.7934829, 0.34444773, 0.5569073, 0.69231385, 0.5265491, 0.9620389, 0.9741539, 0.44908196, 0.11349804, 0.45605892, 0.3391946, 0.16962552, 0.9342167, 0.8255807, 0.49212196, 0.59012806, 0.4062521, 0.28512844, 0.47296435, 0.7494715, 0.30423632, 0.41165873];222,93333;80,66816;419,86667;74,693535;198,6;72,08606;0,6;1,2983507;37,666668;9,013218;37,666668;9,013218;29,333334;12,063325;0;0;37,666668;9,013218;0,73333335;2,1536236;49,733334;49,427387;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;1833360;15,038898;10,183858;2,9013908;15,038898;1,3438643;15;[14, 13, 12, 9, 111, 0.5734342, 0.63319385, 0.4938645, 0.36561215, 0.6102853, 0.71898884, 0.78461957, 0.79797447, 0.39550447, 0.43831185, 0.73021173, 0.8961607, 0.534345, 0.71176004, 0.903553, 0.23630379, 0.084118806, 0.6643237, 0.5593304, 0.31099302, 0.81271076, 0.5234319, 0.49124432, 0.40400812, 0.54102325, 0.7934829, 0.34444773, 0.5569073, 0.69231385, 0.5265491, 0.9620389, 0.9741539, 0.44908196, 0.11349804, 0.45605892, 0.3391946, 0.16962552, 0.9342167, 0.8255807, 0.49212196, 0.59012806, 0.4062521, 0.28512844, 0.47296435, 0.7494715, 0.30423632, 0.41165873];222,93333;80,66816;419,86667;74,693535;198,6;72,08606;0,6;1,2983507;37,666668;9,013218;37,666668;9,013218;29,333334;12,063325;0;0;37,666668;9,013218;0,73333335;2,1536236;49,733334;49,427387;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;2088735;15,260822;10,552285;3,8643625;15,260822;1,2638211;15;[11, 16, 14, 9, 116, 0.6132902, 0.6497203, 0.5190415, 0.2790826, 0.6288801, 0.61688566, 0.54319596, 0.68443763, 0.50455827, 0.5058845, 0.845265, 0.8878444, 0.7650415, 0.59942156, 0.8376767, 0.16317327, 0.13278437, 0.48585007, 0.5560444, 0.5032196, 0.8655895, 0.72425634, 0.6268269, 0.382525, 0.1643267, 0.87850356, 0.40793592, 0.34794676, 0.7133263, 0.8206689, 0.87359023, 0.777693, 0.2289547, 0.6446632, 0.39986125, 0.6238027, 0.22097942, 0.507097, 0.6872307, 0.6119816, 0.5931055, 0.301851, 0.2712943, 0.42501855, 0.7737466, 0.5345904, 0.2942935];146,33333;40,81433;426,66666;80,55404;187,26666;129,3558;1,2666667;2,6583202;36,066666;9,315629;36,066666;9,315629;38,2;12,863014;0;0;36,066666;9,315629;0;0;83,066666;49,408596;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
